,Id,MSSubClass,MSZoning,Street,LotShape,Utilities,HouseStyle,OverallQual,OverallCond,RoofStyle,ExterCond,Foundation,BsmtCond,GarageCars,Fence,SaleType,SaleCondition
0,1461,20,RH,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal
1,1462,20,RL,Pave,IR1,AllPub,1Story,6,6,Hip,TA,CBlock,TA,1,None,WD,Normal
2,1463,60,RL,Pave,IR1,AllPub,2Story,5,5,Gable,TA,PConc,TA,2,MnPrv,WD,Normal
3,1464,60,RL,Pave,IR1,AllPub,2Story,6,6,Gable,TA,PConc,TA,2,None,WD,Normal
4,1465,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
5,1466,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
6,1467,20,RL,Pave,IR1,AllPub,1Story,6,7,Gable,Gd,PConc,TA,2,GdPrv,WD,Normal
7,1468,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
8,1469,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
9,1470,20,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal
10,1471,120,RH,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
11,1472,160,RM,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,1,None,COD,Normal
12,1473,160,RM,Pave,Reg,AllPub,2Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal
13,1474,160,RL,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,2,None,WD,Normal
14,1475,120,RL,Pave,Reg,AllPub,1Story,7,6,Gable,TA,CBlock,TA,1,None,WD,Normal
15,1476,60,RL,Pave,IR1,AllPub,2Story,9,5,Gable,TA,PConc,TA,3,None,New,Partial
16,1477,20,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial
17,1478,20,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal
18,1479,20,RL,Pave,IR1,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
19,1480,20,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal
20,1481,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
21,1482,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
22,1483,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
23,1484,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
24,1485,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
25,1486,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
26,1487,60,RL,Pave,IR2,AllPub,2Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
27,1488,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
28,1489,20,FV,Pave,Reg,AllPub,1Story,7,5,Hip,TA,PConc,TA,2,None,New,Partial
29,1490,20,FV,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
30,1491,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
31,1492,30,RH,Pave,Reg,AllPub,1Story,5,5,Gable,Fa,BrkTil,TA,1,None,WD,Normal
32,1493,20,RL,Pave,IR1,AllPub,1Story,6,6,Hip,Gd,CBlock,TA,2,GdPrv,WD,Abnorml
33,1494,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
34,1495,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
35,1496,120,FV,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
36,1497,160,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
37,1498,160,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,ConLD,Normal
38,1499,160,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
39,1500,160,FV,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
40,1501,160,FV,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
41,1502,160,FV,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
42,1503,20,FV,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,Po,3,None,New,Partial
43,1504,60,FV,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
44,1505,20,FV,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
45,1506,20,RL,Pave,IR1,AllPub,1Story,6,6,Hip,TA,CBlock,TA,2,None,WD,Normal
46,1507,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
47,1508,50,RL,Pave,IR1,AllPub,1.5Fin,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
48,1509,60,RL,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,2,GdWo,WD,Normal
49,1510,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal
50,1511,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,PConc,TA,2,None,ConLD,Normal
51,1512,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal
52,1513,80,RL,Pave,IR1,AllPub,SLvl,6,5,Gable,TA,CBlock,TA,2,None,COD,Family
53,1514,90,RL,Pave,IR1,AllPub,1Story,5,6,Hip,TA,CBlock,TA,0,None,Oth,Abnorml
54,1515,50,RL,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,TA,2,GdWo,WD,Normal
55,1516,50,RL,Pave,Reg,AllPub,1.5Fin,6,6,Gable,Gd,CBlock,TA,2,None,WD,Normal
56,1517,85,RL,Pave,IR1,AllPub,SFoyer,6,8,Gable,TA,CBlock,TA,1,None,WD,Normal
57,1518,90,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,WD,Normal
58,1519,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,MnPrv,WD,Normal
59,1520,20,RL,Pave,IR1,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,GdPrv,WD,Normal
60,1521,20,RL,Pave,IR1,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,None,WD,Normal
61,1522,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,GdWo,WD,Normal
62,1523,50,RL,Pave,Reg,AllPub,1.5Fin,4,5,Gable,TA,CBlock,TA,1,None,WD,Normal
63,1524,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,None,WD,Normal
64,1525,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,Gd,CBlock,TA,1,GdWo,WD,Normal
65,1526,190,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Abnorml
66,1527,30,RL,Pave,Reg,AllPub,1Story,4,7,Gable,TA,BrkTil,TA,2,None,WD,Normal
67,1528,50,RL,Pave,Reg,AllPub,1.5Fin,6,8,Gable,TA,CBlock,TA,1,GdWo,WD,Normal
68,1529,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal
69,1530,20,RL,Pave,Reg,AllPub,1Story,6,7,Hip,TA,CBlock,TA,2,None,WD,Normal
70,1531,50,RM,Pave,Reg,AllPub,1.5Fin,4,5,Hip,TA,PConc,TA,1,None,COD,Abnorml
71,1532,30,RM,Pave,Reg,AllPub,1Story,5,7,Gable,TA,PConc,TA,0,MnPrv,WD,Normal
72,1533,20,RM,Pave,Reg,AllPub,1Story,5,7,Hip,TA,CBlock,TA,2,None,WD,Normal
73,1534,45,RM,Pave,Reg,AllPub,1.5Fin,6,7,Gable,TA,PConc,TA,1,None,WD,Normal
74,1535,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,Gd,BrkTil,TA,1,None,WD,Normal
75,1536,50,RM,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,BrkTil,TA,1,None,WD,Normal
76,1537,30,RM,Pave,Reg,AllPub,1Story,2,2,Gable,Fa,BrkTil,Fa,2,None,WD,Abnorml
77,1538,70,RM,Pave,Reg,AllPub,2Story,8,9,Gable,Gd,BrkTil,TA,1,None,WD,Abnorml
78,1539,70,RM,Pave,Reg,AllPub,2Story,8,9,Gable,Gd,Stone,Fa,2,None,WD,Normal
79,1540,190,RM,Pave,Reg,AllPub,2Story,5,3,Gable,Fa,BrkTil,TA,0,None,WD,Abnorml
80,1541,70,RM,Pave,Reg,AllPub,2Story,6,7,Gable,TA,CBlock,TA,2,None,WD,Normal
81,1542,50,RM,Pave,Reg,AllPub,1.5Fin,5,6,Gable,Gd,CBlock,TA,1,MnPrv,WD,Normal
82,1543,75,RL,Pave,IR1,AllPub,2.5Unf,7,7,Gable,TA,BrkTil,TA,1,None,WD,Normal
83,1544,30,RM,Pave,Reg,AllPub,1Story,4,7,Gable,TA,BrkTil,TA,1,MnPrv,WD,Normal
84,1545,50,RM,Pave,Reg,AllPub,1.5Fin,6,7,Gable,TA,BrkTil,Gd,1,MnPrv,WD,Abnorml
85,1546,50,RM,Pave,Reg,AllPub,1.5Fin,6,6,Gable,Gd,CBlock,TA,2,None,WD,Normal
86,1547,50,RM,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal
87,1548,50,RM,Pave,Reg,AllPub,1.5Fin,6,7,Gable,TA,CBlock,TA,1,None,WD,Normal
88,1549,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,Fa,2,None,WD,Normal
89,1550,50,RM,Pave,Reg,AllPub,1.5Fin,5,5,Gable,TA,BrkTil,TA,2,MnPrv,WD,Normal
90,1551,30,RM,Pave,Reg,AllPub,1Story,6,5,Gable,TA,BrkTil,Fa,1,None,WD,Normal
91,1552,50,RM,Pave,Reg,AllPub,1.5Fin,4,5,Gable,Fa,CBlock,TA,2,GdPrv,WD,Normal
92,1553,70,RM,Pave,Reg,AllPub,2Story,6,8,Gable,Gd,PConc,TA,0,None,WD,Normal
93,1554,70,RM,Pave,Reg,AllPub,2Story,6,8,Gable,Gd,BrkTil,TA,1,GdPrv,WD,Normal
94,1555,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal
95,1556,50,RL,Pave,IR1,AllPub,1.5Fin,5,3,Gable,TA,BrkTil,Fa,1,None,COD,Normal
96,1557,190,RL,Pave,Reg,AllPub,1.5Fin,5,4,Gable,Fa,BrkTil,TA,0,None,ConLD,Normal
