,Id,MSSubClass,MSZoning,Street,LotShape,Utilities,HouseStyle,OverallQual,OverallCond,RoofStyle,ExterCond,Foundation,BsmtCond,GarageCars,Fence,SaleType,SaleCondition,SalePrice
0,1,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,208500
1,2,20,RL,Pave,Reg,AllPub,1Story,6,8,Gable,TA,CBlock,TA,2,None,WD,Normal,181500
2,3,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,223500
3,4,70,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,BrkTil,Gd,3,None,WD,Abnorml,140000
4,5,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,250000
5,6,50,RL,Pave,IR1,AllPub,1.5Fin,5,5,Gable,TA,Wood,TA,2,MnPrv,WD,Normal,143000
6,7,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,307000
7,8,60,RL,Pave,IR1,AllPub,2Story,7,6,Gable,TA,CBlock,TA,2,None,WD,Normal,200000
8,9,50,RM,Pave,Reg,AllPub,1.5Fin,7,5,Gable,TA,BrkTil,TA,2,None,WD,Abnorml,129900
9,10,190,RL,Pave,Reg,AllPub,1.5Unf,5,6,Gable,TA,BrkTil,TA,1,None,WD,Normal,118000
10,11,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,None,WD,Normal,129500
11,12,60,RL,Pave,IR1,AllPub,2Story,9,5,Hip,TA,PConc,TA,3,None,New,Partial,345000
12,13,20,RL,Pave,IR2,AllPub,1Story,5,6,Hip,TA,CBlock,TA,1,None,WD,Normal,144000
13,14,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,3,None,New,Partial,279500
14,15,20,RL,Pave,IR1,AllPub,1Story,6,5,Hip,TA,CBlock,TA,1,GdWo,WD,Normal,157000
15,16,45,RM,Pave,Reg,AllPub,1.5Unf,7,8,Gable,TA,BrkTil,TA,2,GdPrv,WD,Normal,132000
16,17,20,RL,Pave,IR1,AllPub,1Story,6,7,Gable,TA,CBlock,TA,2,None,WD,Normal,149000
17,18,90,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,Slab,None,2,None,WD,Normal,90000
18,19,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal,159000
19,20,20,RL,Pave,Reg,AllPub,1Story,5,6,Hip,TA,CBlock,TA,1,MnPrv,COD,Abnorml,139000
20,21,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,325300
21,22,45,RM,Pave,Reg,AllPub,1.5Unf,7,7,Gable,TA,PConc,TA,1,GdPrv,WD,Normal,139400
22,23,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,2,None,WD,Normal,230000
23,24,120,RM,Pave,Reg,AllPub,1Story,5,7,Gable,TA,PConc,TA,2,None,WD,Normal,129900
24,25,20,RL,Pave,IR1,AllPub,1Story,5,8,Gable,Gd,CBlock,TA,1,MnPrv,WD,Normal,154000
25,26,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,256300
26,27,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,2,None,WD,Normal,134800
27,28,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,306000
28,29,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,207500
29,30,30,RM,Pave,IR1,AllPub,1Story,4,6,Gable,TA,BrkTil,TA,1,None,WD,Normal,68500
30,31,70,C (all),Pave,Reg,AllPub,2Story,4,4,Gambrel,Fa,BrkTil,TA,1,MnPrv,WD,Normal,40000
31,32,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,149350
32,33,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,179900
33,34,20,RL,Pave,IR1,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal,165500
34,35,120,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,WD,Normal,277500
35,36,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,309000
36,37,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal,145000
37,38,20,RL,Pave,Reg,AllPub,1Story,5,6,Hip,TA,CBlock,TA,2,None,WD,Normal,153000
38,39,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,Gd,CBlock,TA,1,None,WD,Abnorml,109000
